datetime,QFIN,STAT,MATH,COMP,SOCI,SOTH
2026-01-01 16:00:00,4441.3,36.77,35.19,96.85,86.22,83.34
2026-01-02 09:30:00,4502.5,37.08,38.76,94.43,86.56,90.55
2026-01-02 09:35:00,4508.8,37.05,39.04,94.34,86.57,90.97
2026-01-02 09:40:00,4501.6,37.03,39.03,94.23,86.58,91.01
2026-01-02 09:45:00,4498.9,36.92,39.28,94.38,86.53,90.96
2026-01-02 09:50:00,4498.2,36.96,39.43,94.27,86.54,91.19
2026-01-02 09:55:00,4494.7,36.94,39.09,94.35,86.54,90.8
2026-01-02 10:00:00,4485.4,37.02,39.18,94.47,86.55,91.0
2026-01-02 10:05:00,4483.8,37.07,39.35,94.35,86.54,91.14
2026-01-02 10:10:00,4491.0,37.12,39.48,94.37,86.57,91.51
2026-01-02 10:15:00,4493.1,37.08,39.52,94.3,86.55,91.42
2026-01-02 10:20:00,4495.5,37.01,39.74,94.4,86.56,91.72
2026-01-02 10:25:00,4500.0,37.06,39.69,94.54,86.54,91.51
2026-01-02 10:30:00,4499.2,37.07,39.78,94.66,86.56,91.71
2026-01-02 10:35:00,4504.4,37.08,39.99,94.59,86.53,91.76
2026-01-02 10:40:00,4505.0,37.07,40.03,94.48,86.55,91.96
2026-01-02 10:45:00,4508.1,37.07,39.99,94.45,86.52,91.72
2026-01-02 10:50:00,4503.8,37.02,39.91,94.81,86.53,91.74
2026-01-02 10:55:00,4504.2,37.04,39.96,94.97,86.57,92.09
2026-01-02 11:00:00,4506.0,37.04,40.05,95.22,86.55,92.02
2026-01-02 11:05:00,4502.9,37.06,40.08,94.61,86.54,92.0
2026-01-02 11:10:00,4498.2,37.06,40.36,94.65,86.56,92.47
2026-01-02 11:15:00,4491.2,37.02,40.39,94.49,86.58,92.62
2026-01-02 11:20:00,4493.1,37.0,40.16,94.45,86.56,92.26
2026-01-02 11:25:00,4494.2,37.03,40.12,94.57,86.56,92.23
2026-01-02 11:30:00,4498.2,37.07,39.95,94.48,86.51,91.64
2026-01-02 11:35:00,4500.7,37.12,39.78,94.5,86.5,91.38
2026-01-02 11:40:00,4509.4,37.13,40.07,94.62,86.49,91.61
2026-01-02 11:45:00,4510.9,37.1,40.23,94.41,86.51,91.93
2026-01-02 11:50:00,4514.8,37.09,40.39,94.31,86.5,91.99
2026-01-02 11:55:00,4516.4,37.13,40.33,93.94,86.49,91.87
2026-01-02 12:00:00,4517.1,37.09,40.31,94.1,86.5,91.89
2026-01-02 13:00:00,4496.3,36.99,39.53,93.99,86.65,92.02
2026-01-02 13:05:00,4494.8,36.98,39.55,94.12,86.68,92.27
2026-01-02 13:10:00,4494.7,37.08,39.37,94.06,86.67,92.02
2026-01-02 13:15:00,4486.7,37.08,39.37,93.94,86.68,92.14
2026-01-02 13:20:00,4483.9,37.04,39.45,94.08,86.66,92.11
2026-01-02 13:25:00,4476.2,37.0,39.35,94.33,86.68,92.12
2026-01-02 13:30:00,4473.3,37.01,39.01,94.2,86.68,91.71
2026-01-02 13:35:00,4478.4,37.0,38.89,94.23,86.67,91.49
2026-01-02 13:40:00,4479.0,37.0,38.97,94.36,86.7,91.85
2026-01-02 13:45:00,4486.0,37.03,39.08,94.21,86.69,91.88
2026-01-02 13:50:00,4489.1,37.1,39.05,93.89,86.68,91.76
2026-01-02 13:55:00,4487.1,37.22,39.06,94.06,86.65,91.52
2026-01-02 14:00:00,4494.0,37.17,39.19,93.79,86.66,91.76
2026-01-02 14:05:00,4497.9,37.12,39.12,93.91,86.64,91.56
2026-01-02 14:10:00,4490.3,37.12,39.23,93.87,86.66,91.85
2026-01-02 14:15:00,4488.8,37.01,39.4,93.48,86.62,91.78
2026-01-02 14:20:00,4485.6,37.05,39.15,93.19,86.66,91.77
2026-01-02 14:25:00,4484.6,37.07,39.32,93.36,86.68,92.06
2026-01-02 14:30:00,4486.0,37.07,39.18,93.25,86.69,92.04
2026-01-02 14:35:00,4491.0,37.12,38.85,93.32,86.67,91.48
2026-01-02 14:40:00,4492.2,37.14,38.69,93.37,86.66,91.26
2026-01-02 14:45:00,4490.9,37.14,38.56,93.56,86.65,91.04
2026-01-02 14:50:00,4494.9,37.22,38.33,93.43,86.66,90.78
2026-01-02 14:55:00,4493.6,37.18,38.6,93.8,86.66,91.16
2026-01-02 15:00:00,4496.4,37.12,38.18,93.84,86.69,90.81
2026-01-02 15:05:00,4495.5,37.13,38.06,93.69,86.67,90.52
2026-01-02 15:10:00,4501.1,37.05,38.16,93.88,86.68,90.75
2026-01-02 15:15:00,4501.5,37.1,38.34,94.07,86.68,90.97
2026-01-02 15:20:00,4499.1,37.0,38.09,94.07,86.68,90.62
2026-01-02 15:25:00,4493.6,36.98,37.87,93.98,86.66,90.23
2026-01-02 15:30:00,4494.2,36.92,38.19,93.95,86.64,90.49
2026-01-02 15:35:00,4492.0,36.97,38.11,93.76,86.64,90.38
2026-01-02 15:40:00,4498.0,37.0,38.11,93.73,86.64,90.45
2026-01-02 15:45:00,4500.8,37.09,38.1,93.36,86.64,90.39
2026-01-02 15:50:00,4502.0,37.05,38.18,93.33,86.66,90.61
2026-01-02 15:55:00,4500.7,37.08,38.02,93.27,86.67,90.47
2026-01-02 16:00:00,4503.4,37.05,37.99,93.46,86.7,90.7
2026-01-05 09:30:00,4673.4,37.42,48.07,84.34,86.28,100.28
2026-01-05 09:35:00,4677.8,37.51,47.81,83.85,86.26,99.87
2026-01-05 09:40:00,4682.8,37.55,47.54,83.6,86.26,99.67
2026-01-05 09:45:00,4674.3,37.48,47.25,83.99,86.3,99.61
2026-01-05 09:50:00,4675.7,37.45,47.37,84.07,86.26,99.46
2026-01-05 09:55:00,4681.4,37.5,47.17,83.5,86.23,99.04
2026-01-05 10:00:00,4679.1,37.42,47.25,83.34,86.24,99.23
2026-01-05 10:05:00,4680.2,37.49,47.03,83.52,86.25,99.12
2026-01-05 10:10:00,4677.7,37.48,47.23,83.4,86.27,99.39
2026-01-05 10:15:00,4674.8,37.39,47.19,83.55,86.27,99.41
2026-01-05 10:20:00,4666.0,37.39,47.41,83.42,86.3,99.83
2026-01-05 10:25:00,4674.9,37.36,47.29,83.28,86.3,99.65
2026-01-05 10:30:00,4672.3,37.37,47.24,82.88,86.33,99.8
2026-01-05 10:35:00,4677.5,37.37,47.05,82.93,86.3,99.39
2026-01-05 10:40:00,4668.6,37.35,47.08,83.5,86.32,99.61
2026-01-05 10:45:00,4670.6,37.33,47.32,83.76,86.34,100.08
2026-01-05 10:50:00,4668.9,37.35,47.38,83.74,86.32,100.01
2026-01-05 10:55:00,4661.8,37.37,47.45,83.26,86.34,100.27
2026-01-05 11:00:00,4665.3,37.44,47.25,83.46,86.36,100.26
2026-01-05 11:05:00,4661.9,37.41,47.18,83.3,86.36,100.19
2026-01-05 11:10:00,4657.5,37.46,47.38,83.22,86.38,100.48
2026-01-05 11:15:00,4656.1,37.44,47.1,83.29,86.4,100.42
2026-01-05 11:20:00,4653.7,37.42,47.32,83.31,86.42,100.77
2026-01-05 11:25:00,4652.2,37.37,47.17,83.88,86.45,100.84
2026-01-05 11:30:00,4655.0,37.36,47.2,84.28,86.45,100.83
2026-01-05 11:35:00,4654.1,37.33,46.99,84.38,86.45,100.69
2026-01-05 11:40:00,4648.5,37.37,47.32,83.99,86.48,101.21
2026-01-05 11:45:00,4655.3,37.39,47.77,83.94,86.48,101.69
2026-01-05 11:50:00,4663.1,37.45,48.16,83.51,86.42,101.64
2026-01-05 11:55:00,4659.0,37.35,48.27,83.45,86.42,101.72
2026-01-05 12:00:00,4647.2,37.4,48.3,83.39,86.47,102.15
2026-01-05 13:00:00,4653.0,37.45,48.02,83.38,86.42,101.51
2026-01-05 13:05:00,4658.4,37.44,48.18,83.56,86.41,101.6
2026-01-05 13:10:00,4664.8,37.49,48.22,83.47,86.4,101.57
2026-01-05 13:15:00,4673.3,37.5,48.43,83.12,86.4,101.75
2026-01-05 13:20:00,4671.4,37.48,48.43,83.28,86.43,101.96
2026-01-05 13:25:00,4671.5,37.48,48.3,82.99,86.45,101.99
2026-01-05 13:30:00,4673.6,37.45,48.27,82.9,86.44,101.9
2026-01-05 13:35:00,4674.1,37.46,48.0,82.64,86.47,101.81
2026-01-05 13:40:00,4681.1,37.54,48.25,83.01,86.46,101.99
2026-01-05 13:45:00,4687.4,37.51,48.36,82.82,86.42,101.84
2026-01-05 13:50:00,4691.7,37.58,48.1,82.88,86.46,101.88
2026-01-05 13:55:00,4691.0,37.54,48.1,83.31,86.44,101.76
2026-01-05 14:00:00,4689.8,37.47,48.2,83.36,86.48,102.14
2026-01-05 14:05:00,4689.2,37.46,48.25,82.97,86.51,102.38
2026-01-05 14:10:00,4691.1,37.49,48.5,82.97,86.51,102.67
2026-01-05 14:15:00,4699.5,37.53,48.52,83.16,86.5,102.61
2026-01-05 14:20:00,4703.3,37.46,48.63,83.32,86.48,102.47
2026-01-05 14:25:00,4698.8,37.48,48.7,83.8,86.48,102.61
2026-01-05 14:30:00,4695.4,37.46,48.89,83.95,86.47,102.71
2026-01-05 14:35:00,4694.0,37.4,48.77,84.21,86.46,102.51
2026-01-05 14:40:00,4700.4,37.33,48.59,84.32,86.46,102.31
2026-01-05 14:45:00,4704.1,37.37,47.87,83.89,86.43,101.46
2026-01-05 14:50:00,4708.9,37.38,47.91,84.4,86.43,101.42
2026-01-05 14:55:00,4706.9,37.39,47.78,84.11,86.46,101.6
2026-01-05 15:00:00,4700.5,37.47,47.62,84.51,86.49,101.65
2026-01-05 15:05:00,4699.4,37.39,47.43,84.62,86.5,101.58
2026-01-05 15:10:00,4702.2,37.38,47.26,84.8,86.48,101.28
2026-01-05 15:15:00,4708.3,37.37,46.9,84.7,86.47,100.88
2026-01-05 15:20:00,4710.9,37.3,47.02,84.98,86.5,101.18
2026-01-05 15:25:00,4715.0,37.3,47.16,84.86,86.51,101.42
2026-01-05 15:30:00,4713.1,37.31,46.99,84.96,86.5,101.21
2026-01-05 15:35:00,4711.7,37.32,47.04,85.01,86.53,101.54
2026-01-05 15:40:00,4712.2,37.25,47.44,84.9,86.54,102.05
2026-01-05 15:45:00,4710.3,37.27,47.57,84.85,86.54,102.18
2026-01-05 15:50:00,4712.0,37.31,47.62,85.12,86.52,102.08
2026-01-05 15:55:00,4713.6,37.28,48.07,84.86,86.51,102.4
2026-01-05 16:00:00,4708.3,37.35,48.19,84.95,86.52,102.63
2026-01-06 09:30:00,4725.7,37.79,43.17,75.86,86.32,96.22
2026-01-06 09:35:00,4719.8,37.79,43.07,76.32,86.34,96.24
2026-01-06 09:40:00,4719.1,37.71,43.27,76.67,86.32,96.39
2026-01-06 09:45:00,4723.9,37.74,43.2,76.55,86.32,96.27
2026-01-06 09:50:00,4727.3,37.62,43.24,76.26,86.32,96.34
2026-01-06 09:55:00,4727.0,37.6,43.17,76.55,86.35,96.46
2026-01-06 10:00:00,4725.2,37.61,43.03,76.94,86.36,96.43
2026-01-06 10:05:00,4725.5,37.64,43.18,77.17,86.38,96.77
2026-01-06 10:10:00,4715.8,37.52,43.08,77.08,86.43,96.97
2026-01-06 10:15:00,4716.3,37.48,42.83,76.94,86.43,96.7
2026-01-06 10:20:00,4711.7,37.44,42.34,76.99,86.45,96.33
2026-01-06 10:25:00,4708.2,37.37,42.33,77.1,86.42,96.14
2026-01-06 10:30:00,4710.7,37.49,42.81,76.73,86.4,96.52
2026-01-06 10:35:00,4714.4,37.51,42.99,76.73,86.34,96.26
2026-01-06 10:40:00,4717.0,37.47,42.96,76.94,86.4,96.69
2026-01-06 10:45:00,4715.6,37.5,43.27,76.45,86.42,97.19
2026-01-06 10:50:00,4714.1,37.48,42.91,76.4,86.4,96.7
2026-01-06 10:55:00,4716.2,37.43,42.88,76.83,86.4,96.68
2026-01-06 11:00:00,4715.1,37.43,42.87,76.64,86.4,96.69
2026-01-06 11:05:00,4709.3,37.43,42.84,76.9,86.42,96.79
2026-01-06 11:10:00,4714.8,37.48,42.79,76.71,86.41,96.72
2026-01-06 11:15:00,4712.6,37.47,42.96,76.8,86.42,96.89
2026-01-06 11:20:00,4705.1,37.42,42.77,76.8,86.41,96.63
2026-01-06 11:25:00,4697.6,37.42,42.89,76.81,86.43,96.98
2026-01-06 11:30:00,4696.4,37.45,42.63,76.76,86.45,96.84
2026-01-06 11:35:00,4701.9,37.42,42.67,76.39,86.43,96.75
2026-01-06 11:40:00,4707.9,37.5,42.65,76.66,86.43,96.67
2026-01-06 11:45:00,4710.8,37.59,43.29,76.31,86.45,97.54
2026-01-06 11:50:00,4705.2,37.5,43.41,76.31,86.46,97.78
2026-01-06 11:55:00,4705.7,37.5,43.42,75.75,86.47,97.88
2026-01-06 12:00:00,4711.7,37.56,43.62,76.09,86.47,98.14
2026-01-06 13:00:00,4735.1,37.3,43.47,76.09,86.37,97.14
2026-01-06 13:05:00,4740.9,37.28,43.45,75.76,86.36,96.97
2026-01-06 13:10:00,4739.2,37.22,43.4,75.92,86.33,96.74
2026-01-06 13:15:00,4746.6,37.21,43.41,75.97,86.36,96.97
2026-01-06 13:20:00,4736.0,37.19,43.41,76.01,86.36,97.01
2026-01-06 13:25:00,4741.6,37.24,43.23,75.91,86.35,96.77
2026-01-06 13:30:00,4743.6,37.29,43.17,76.29,86.38,96.88
2026-01-06 13:35:00,4741.6,37.32,42.93,76.17,86.41,96.87
2026-01-06 13:40:00,4740.4,37.26,42.58,76.08,86.42,96.6
2026-01-06 13:45:00,4743.3,37.34,42.58,75.97,86.43,96.66
2026-01-06 13:50:00,4743.0,37.34,42.78,76.03,86.45,96.98
2026-01-06 13:55:00,4744.6,37.41,42.7,76.09,86.42,96.68
2026-01-06 14:00:00,4744.2,37.39,42.7,76.51,86.42,96.76
2026-01-06 14:05:00,4745.0,37.43,42.61,76.09,86.43,96.69
2026-01-06 14:10:00,4748.5,37.53,42.44,76.55,86.45,96.71
2026-01-06 14:15:00,4740.8,37.45,42.77,77.03,86.42,96.83
2026-01-06 14:20:00,4740.0,37.52,42.78,77.36,86.41,96.85
2026-01-06 14:25:00,4741.6,37.54,42.83,77.15,86.43,97.0
2026-01-06 14:30:00,4738.8,37.53,42.6,76.57,86.44,96.83
2026-01-06 14:35:00,4747.4,37.55,42.78,76.54,86.42,96.91
2026-01-06 14:40:00,4743.5,37.53,42.8,76.74,86.44,97.02
2026-01-06 14:45:00,4742.0,37.47,42.57,76.65,86.45,96.86
2026-01-06 14:50:00,4738.8,37.48,42.46,77.26,86.43,96.59
2026-01-06 14:55:00,4742.8,37.5,42.37,77.13,86.43,96.54
2026-01-06 15:00:00,4744.5,37.42,42.37,76.93,86.43,96.57
2026-01-06 15:05:00,4753.7,37.43,42.41,76.62,86.42,96.53
2026-01-06 15:10:00,4750.1,37.5,42.21,77.07,86.43,96.38
2026-01-06 15:15:00,4745.3,37.52,42.15,76.72,86.43,96.28
2026-01-06 15:20:00,4745.0,37.62,42.03,76.62,86.38,95.72
2026-01-06 15:25:00,4746.2,37.68,41.91,76.76,86.37,95.48
2026-01-06 15:30:00,4751.1,37.64,41.8,76.29,86.33,95.09
2026-01-06 15:35:00,4754.8,37.59,42.06,76.67,86.35,95.52
2026-01-06 15:40:00,4752.1,37.6,42.12,76.5,86.36,95.64
2026-01-06 15:45:00,4751.3,37.6,41.75,76.46,86.34,95.09
2026-01-06 15:50:00,4749.2,37.55,41.91,76.57,86.36,95.42
2026-01-06 15:55:00,4756.4,37.51,42.02,77.11,86.35,95.46
2026-01-06 16:00:00,4750.6,37.45,42.22,77.02,86.34,95.63
2026-01-07 09:30:00,4745.0,37.35,47.56,75.01,86.36,101.66
2026-01-07 09:35:00,4741.9,37.38,47.74,75.22,86.36,101.88
2026-01-07 09:40:00,4745.7,37.39,47.94,75.29,86.34,101.92
2026-01-07 09:45:00,4746.2,37.27,47.68,75.42,86.32,101.56
2026-01-07 09:50:00,4747.7,37.35,47.62,75.16,86.33,101.6
2026-01-07 09:55:00,4753.8,37.28,47.81,74.85,86.31,101.58
2026-01-07 10:00:00,4746.3,37.32,48.09,74.79,86.3,101.75
2026-01-07 10:05:00,4740.8,37.13,48.36,74.73,86.3,102.05
2026-01-07 10:10:00,4734.8,37.12,48.55,75.01,86.29,102.25
2026-01-07 10:15:00,4738.3,37.1,48.82,75.45,86.29,102.44
2026-01-07 10:20:00,4737.5,37.13,48.97,75.35,86.3,102.61
2026-01-07 10:25:00,4739.9,37.19,48.93,75.42,86.28,102.4
2026-01-07 10:30:00,4740.0,37.2,48.55,75.92,86.25,101.86
2026-01-07 10:35:00,4745.1,37.27,48.53,75.92,86.22,101.6
2026-01-07 10:40:00,4747.0,37.26,48.71,75.66,86.19,101.54
2026-01-07 10:45:00,4741.3,37.24,48.92,76.02,86.19,101.73
2026-01-07 10:50:00,4735.0,37.22,49.18,76.01,86.21,102.11
2026-01-07 10:55:00,4740.0,37.24,49.53,75.89,86.2,102.37
2026-01-07 11:00:00,4736.9,37.25,49.55,75.82,86.21,102.43
2026-01-07 11:05:00,4740.1,37.22,49.26,75.85,86.18,101.95
2026-01-07 11:10:00,4738.0,37.2,49.36,75.79,86.21,102.32
2026-01-07 11:15:00,4734.5,37.17,49.47,75.46,86.21,102.44
2026-01-07 11:20:00,4736.1,37.2,49.42,76.03,86.19,102.25
2026-01-07 11:25:00,4739.5,37.35,49.37,75.85,86.19,102.2
2026-01-07 11:30:00,4742.1,37.36,49.11,75.51,86.14,101.53
2026-01-07 11:35:00,4742.9,37.34,49.1,76.19,86.13,101.5
2026-01-07 11:40:00,4746.6,37.41,48.87,76.33,86.16,101.53
2026-01-07 11:45:00,4747.1,37.46,48.5,76.25,86.18,101.31
2026-01-07 11:50:00,4751.0,37.45,48.52,76.18,86.19,101.45
2026-01-07 11:55:00,4752.3,37.42,48.63,75.94,86.21,101.77
2026-01-07 12:00:00,4753.9,37.43,48.78,75.8,86.2,101.8
2026-01-07 13:00:00,4770.8,37.49,48.59,75.15,86.18,101.32
2026-01-07 13:05:00,4774.1,37.54,48.67,74.71,86.18,101.44
2026-01-07 13:10:00,4765.0,37.54,48.73,74.69,86.19,101.63
2026-01-07 13:15:00,4774.1,37.56,48.74,74.6,86.18,101.55
2026-01-07 13:20:00,4772.0,37.46,48.39,74.35,86.2,101.36
2026-01-07 13:25:00,4771.1,37.45,48.35,74.87,86.22,101.49
2026-01-07 13:30:00,4772.0,37.43,48.09,75.39,86.2,101.02
2026-01-07 13:35:00,4770.6,37.35,47.87,75.13,86.18,100.7
2026-01-07 13:40:00,4766.7,37.42,47.73,75.52,86.16,100.42
2026-01-07 13:45:00,4766.5,37.4,47.75,75.49,86.15,100.31
2026-01-07 13:50:00,4770.4,37.49,47.72,75.45,86.13,100.16
2026-01-07 13:55:00,4767.5,37.47,47.55,75.6,86.15,100.17
2026-01-07 14:00:00,4767.6,37.45,47.64,75.49,86.17,100.46
2026-01-07 14:05:00,4763.1,37.48,47.64,75.66,86.16,100.36
2026-01-07 14:10:00,4762.9,37.41,47.44,75.8,86.14,100.05
2026-01-07 14:15:00,4762.1,37.39,47.8,76.04,86.15,100.45
2026-01-07 14:20:00,4761.7,37.41,47.89,76.25,86.13,100.27
2026-01-07 14:25:00,4761.3,37.42,47.99,76.31,86.16,100.64
2026-01-07 14:30:00,4760.7,37.4,48.35,76.19,86.12,100.67
2026-01-07 14:35:00,4756.9,37.45,48.16,76.19,86.11,100.38
2026-01-07 14:40:00,4748.9,37.4,47.95,76.17,86.11,100.21
2026-01-07 14:45:00,4750.4,37.46,48.01,75.63,86.08,100.01
2026-01-07 14:50:00,4747.4,37.47,47.89,76.28,86.05,99.63
2026-01-07 14:55:00,4746.4,37.46,48.0,76.39,86.04,99.61
2026-01-07 15:00:00,4735.9,37.4,48.57,76.19,86.06,100.27
2026-01-07 15:05:00,4736.5,37.44,48.73,75.98,86.06,100.52
2026-01-07 15:10:00,4731.9,37.47,48.35,75.97,86.06,100.08
2026-01-07 15:15:00,4738.4,37.51,48.17,76.41,86.06,99.94
2026-01-07 15:20:00,4740.7,37.48,47.94,76.38,86.07,99.83
2026-01-07 15:25:00,4748.7,37.54,47.76,76.26,86.07,99.64
2026-01-07 15:30:00,4743.1,37.5,47.74,76.5,86.09,99.79
2026-01-07 15:35:00,4740.1,37.48,47.76,76.3,86.09,99.9
2026-01-07 15:40:00,4741.6,37.43,47.55,76.34,86.07,99.53
2026-01-07 15:45:00,4746.8,37.45,47.65,76.13,86.06,99.49
2026-01-07 15:50:00,4744.9,37.41,47.83,76.69,86.07,99.72
2026-01-07 15:55:00,4746.4,37.35,47.87,76.66,86.07,99.75
2026-01-07 16:00:00,4743.4,37.36,47.84,76.09,86.09,99.94
2026-01-08 09:30:00,4767.8,37.5,53.84,77.6,85.89,104.28
2026-01-08 09:35:00,4769.2,37.57,53.29,77.29,85.92,104.02
2026-01-08 09:40:00,4779.7,37.56,53.3,77.53,85.9,103.88
2026-01-08 09:45:00,4783.8,37.62,53.27,77.15,85.9,103.88
2026-01-08 09:50:00,4793.5,37.64,53.4,77.6,85.9,104.03
2026-01-08 09:55:00,4790.4,37.62,53.18,76.97,85.92,104.02
2026-01-08 10:00:00,4786.5,37.62,53.01,77.01,85.91,103.79
2026-01-08 10:05:00,4787.1,37.64,53.35,77.63,85.92,104.17
2026-01-08 10:10:00,4790.9,37.65,53.28,77.51,85.92,104.11
2026-01-08 10:15:00,4792.3,37.66,53.7,77.21,85.92,104.44
2026-01-08 10:20:00,4794.5,37.73,53.9,76.83,85.92,104.63
2026-01-08 10:25:00,4803.9,37.7,54.26,77.09,85.89,104.6
2026-01-08 10:30:00,4806.0,37.67,54.51,76.91,85.87,104.71
2026-01-08 10:35:00,4803.3,37.68,55.17,77.44,85.88,105.35
2026-01-08 10:40:00,4803.0,37.67,55.15,77.18,85.88,105.3
2026-01-08 10:45:00,4810.2,37.74,55.32,77.23,85.84,105.1
2026-01-08 10:50:00,4811.2,37.63,55.81,77.48,85.86,105.69
2026-01-08 10:55:00,4811.4,37.63,55.83,77.09,85.85,105.68
2026-01-08 11:00:00,4804.1,37.55,55.53,77.14,85.89,105.72
2026-01-08 11:05:00,4809.8,37.53,55.08,76.99,85.87,105.27
2026-01-08 11:10:00,4810.8,37.52,54.78,76.87,85.86,104.85
2026-01-08 11:15:00,4821.4,37.63,55.23,77.1,85.85,105.12
2026-01-08 11:20:00,4826.0,37.59,55.49,76.53,85.86,105.38
2026-01-08 11:25:00,4835.3,37.62,55.64,76.12,85.83,105.35
2026-01-08 11:30:00,4830.8,37.55,55.87,76.27,85.86,105.78
2026-01-08 11:35:00,4829.8,37.5,56.01,76.18,85.84,105.73
